Date,"Sales (Thousands of USD)"
1986,26355359
1987,32530452
1988,45004809
1989,48762926
1990,50518932
1991,54607454
1992,59864958
1993,77309681
1994,101878593
1995,144403681
1996,131966432
1997,137203120
1998,125611999
1999,149378551
2000,204393623
2001,138962610
2002,140713320
2003,166425522
2004,213026836
2005,227484137
2006,247716193
2007,255645338
2008,248602812
2009,226313366
2010,298315115
2011,299521338
2012,291562116
2013,305583864
2014,335842917
2015,335167861
2016,338930855
2017,412220944
